price,cost,sales,profit,inventory,delivery_days,category,material,color,location,season,store_type,revenue
1682,1012,9,670,3,30,Bed,Wood,Green,Urban,Fall,Online,15138
1433,831,8,602,7,31,Bed,Wood,White,Urban,Winter,Retail,11464
1777,1031,1,746,1,24,Bed,Wood,Blue,Rural,Winter,Retail,1777
1473,878,5,595,4,30,Bed,Wood,Green,Urban,Spring,Online,7365
1243,654,15,589,8,15,Bed,Fabric,White,Urban,Summer,Online,18645
1498,894,15,604,8,27,Bed,Wood,Black,Suburban,Fall,Online,22470
1798,937,1,861,1,27,Bed,Wood,Blue,Rural,Winter,Online,1798
1894,1144,8,750,4,28,Bed,Wood,Brown,Suburban,Spring,Retail,15152
1586,868,2,718,3,35,Bed,Wood,Blue,Rural,Winter,Online,3172
1630,1063,14,567,8,29,Bed,Leather,Blue,Urban,Summer,Online,22820
1539,909,2,630,1,37,Bed,Wood,Green,Suburban,Spring,Online,3078
1454,916,5,538,1,22,Bed,Wood,Blue,Rural,Spring,Online,7270
1682,932,7,750,1,29,Bed,Wood,Black,Urban,Winter,Retail,11774
1287,608,11,679,3,22,Bed,Fabric,Blue,Urban,Fall,Retail,14157
1808,1173,6,635,3,37,Bed,Leather,Brown,Rural,Spring,Online,10848
1619,885,14,734,7,31,Bed,Wood,White,Urban,Fall,Online,22666
1738,986,14,752,11,23,Bed,Wood,White,Suburban,Summer,Online,24332
1884,1081,1,803,5,31,Bed,Wood,Blue,Urban,Winter,Online,1884
1835,1102,7,733,4,27,Bed,Wood,Green,Urban,Summer,Online,12845
1594,886,11,708,7,36,Bed,Leather,Blue,Urban,Summer,Retail,17534
1097,527,9,570,4,12,Bed,Fabric,Blue,Urban,Fall,Online,9873
1627,943,4,684,2,25,Bed,Wood,Green,Rural,Fall,Online,6508
1670,990,6,680,4,20,Bed,Wood,Red,Rural,Fall,Online,10020
1102,559,10,543,2,19,Bed,Fabric,Red,Rural,Fall,Retail,11020
1850,1065,9,785,6,31,Bed,Wood,White,Suburban,Spring,Retail,16650
1743,1014,7,729,2,29,Bed,Wood,Green,Rural,Fall,Retail,12201
2005,1193,11,812,5,39,Bed,Leather,White,Rural,Summer,Online,22055
1664,1036,1,628,1,35,Bed,Leather,Blue,Rural,Winter,Retail,1664
1688,992,5,696,2,33,Bed,Wood,Red,Urban,Winter,Retail,8440
1565,957,7,608,5,31,Bed,Wood,White,Suburban,Winter,Retail,10955
1725,1021,7,704,4,35,Bed,Leather,Brown,Rural,Spring,Online,12075
1474,862,6,612,1,29,Bed,Wood,Green,Rural,Summer,Online,8844
1521,939,6,582,3,28,Bed,Leather,Blue,Suburban,Spring,Online,9126
1529,881,5,648,3,34,Bed,Wood,Green,Urban,Summer,Online,7645
1645,934,6,711,4,37,Bed,Wood,White,Suburban,Winter,Retail,9870
1724,970,14,754,8,39,Bed,Wood,Black,Suburban,Summer,Retail,24136
1776,1019,12,757,2,36,Bed,Leather,White,Urban,Summer,Online,21312
1640,933,8,707,2,37,Bed,Leather,Brown,Suburban,Fall,Online,13120
1495,802,5,693,2,33,Bed,Wood,Red,Urban,Spring,Online,7475
1969,1181,6,788,3,37,Bed,Leather,Black,Suburban,Spring,Online,11814
1641,893,10,748,5,28,Bed,Wood,Black,Urban,Winter,Retail,16410
1825,1142,13,683,6,38,Bed,Leather,White,Rural,Summer,Retail,23725
2136,1356,16,780,7,57,Bed,Leather,White,Urban,Summer,Retail,34176
1495,853,5,642,6,33,Bed,Wood,Blue,Urban,Spring,Retail,7475
996,505,13,491,7,11,Bed,Fabric,Green,Suburban,Summer,Retail,12948
1621,922,8,699,3,34,Bed,Wood,Black,Rural,Spring,Retail,12968
1039,475,8,564,7,15,Bed,Fabric,Blue,Rural,Fall,Retail,8312
1963,1163,1,800,1,31,Bed,Wood,Green,Rural,Spring,Online,1963
1684,1110,10,574,7,43,Bed,Leather,Black,Rural,Fall,Retail,16840
1706,947,12,759,7,35,Bed,Wood,Black,Suburban,Fall,Online,20472
1849,1045,12,804,5,21,Bed,Leather,Brown,Suburban,Fall,Online,22188
1577,858,3,719,6,41,Bed,Wood,Red,Urban,Winter,Online,4731
1073,524,12,549,9,15,Bed,Fabric,Green,Suburban,Summer,Online,12876
1635,1039,8,596,3,31,Bed,Wood,Blue,Rural,Summer,Retail,13080
1801,999,6,802,1,28,Bed,Wood,Black,Suburban,Winter,Online,10806
2138,1322,14,816,6,32,Bed,Leather,Black,Suburban,Fall,Retail,29932
1811,1025,8,786,2,28,Bed,Wood,Red,Urban,Spring,Online,14488
1961,1039,6,922,1,29,Bed,Wood,Black,Rural,Winter,Online,11766
1120,583,2,537,1,15,Bed,Fabric,Red,Urban,Spring,Retail,2240
1174,561,15,613,6,16,Bed,Fabric,Black,Rural,Summer,Retail,17610
1091,552,12,539,9,14,Bed,Fabric,Black,Suburban,Spring,Online,13092
1645,956,14,689,8,21,Bed,Wood,White,Urban,Summer,Retail,23030
1772,987,13,785,4,37,Bed,Wood,Black,Urban,Summer,Online,23036
1802,1133,13,669,4,27,Bed,Leather,White,Rural,Summer,Retail,23426
1933,1123,12,810,6,33,Bed,Leather,White,Urban,Summer,Online,23196
1076,529,6,547,1,21,Bed,Fabric,Black,Rural,Winter,Retail,6456
1594,977,10,617,2,37,Bed,Wood,Brown,Rural,Summer,Retail,15940
1444,815,11,629,5,20,Bed,Wood,Blue,Suburban,Summer,Retail,15884
1730,995,6,735,4,48,Bed,Wood,Brown,Rural,Winter,Online,10380
1480,858,4,622,5,35,Bed,Wood,Brown,Urban,Winter,Online,5920
1789,1003,10,786,1,40,Bed,Wood,White,Rural,Summer,Online,17890
1182,583,14,599,9,24,Bed,Fabric,Red,Urban,Summer,Online,16548
1498,842,4,656,3,36,Bed,Wood,Black,Rural,Winter,Online,5992
1520,886,10,634,7,35,Bed,Wood,Blue,Rural,Fall,Online,15200
1651,989,8,662,5,37,Bed,Wood,Blue,Suburban,Spring,Online,13208
1678,1032,8,646,3,41,Bed,Leather,Red,Rural,Fall,Online,13424
1107,531,12,576,10,20,Bed,Fabric,Black,Suburban,Spring,Retail,13284
1814,1019,12,795,4,27,Bed,Wood,White,Rural,Summer,Retail,21768
1212,605,15,607,8,17,Bed,Fabric,Red,Urban,Summer,Online,18180
1989,1161,3,828,4,36,Bed,Leather,Red,Rural,Fall,Online,5967
1522,915,14,607,11,30,Bed,Leather,Brown,Urban,Summer,Retail,21308
1703,983,3,720,1,25,Bed,Leather,Green,Urban,Spring,Online,5109
1517,819,7,698,1,27,Bed,Wood,Blue,Urban,Summer,Online,10619
1740,991,8,749,4,31,Bed,Leather,Brown,Rural,Spring,Retail,13920
1772,1134,13,638,8,18,Bed,Leather,Brown,Suburban,Fall,Retail,23036
1599,841,12,758,7,26,Bed,Wood,White,Suburban,Summer,Online,19188
1722,955,3,767,1,28,Bed,Wood,Blue,Urban,Winter,Online,5166
1709,1014,1,695,4,28,Bed,Wood,Green,Rural,Winter,Online,1709
1659,848,12,811,6,23,Bed,Wood,Black,Rural,Spring,Retail,19908
1256,667,11,589,3,21,Bed,Fabric,Red,Urban,Fall,Online,13816
1588,875,7,713,1,33,Bed,Wood,Red,Urban,Spring,Online,11116
1715,1083,12,632,2,25,Bed,Wood,Blue,Urban,Summer,Retail,20580
1142,581,13,561,3,16,Bed,Fabric,Red,Urban,Fall,Online,14846
1837,1136,14,701,7,37,Bed,Wood,Brown,Urban,Spring,Retail,25718
1899,1158,7,741,6,25,Bed,Wood,Red,Rural,Fall,Online,13293
1628,1017,10,611,5,31,Bed,Leather,Brown,Rural,Fall,Retail,16280
1651,967,2,684,1,31,Bed,Wood,Brown,Rural,Winter,Retail,3302
1163,560,9,603,9,14,Bed,Fabric,Black,Rural,Winter,Retail,10467
1236,645,2,591,1,14,Bed,Fabric,Green,Urban,Spring,Online,2472
1956,1183,14,773,9,29,Bed,Leather,Brown,Suburban,Summer,Online,27384
1090,512,8,578,4,19,Bed,Fabric,Brown,Rural,Spring,Online,8720
1573,948,7,625,7,34,Bed,Wood,Red,Urban,Spring,Online,11011
1713,1022,7,691,3,38,Bed,Wood,White,Rural,Spring,Online,11991
1279,703,11,576,7,20,Bed,Fabric,Blue,Urban,Fall,Online,14069
1670,994,2,676,1,41,Bed,Wood,Red,Rural,Spring,Online,3340
1186,595,19,591,11,20,Bed,Fabric,Black,Urban,Summer,Online,22534
1679,923,15,756,6,31,Bed,Wood,White,Urban,Summer,Retail,25185
1497,903,9,594,6,29,Bed,Wood,Blue,Rural,Summer,Retail,13473
1846,1017,1,829,1,36,Bed,Leather,Blue,Urban,Winter,Retail,1846
1643,912,7,731,3,24,Bed,Wood,Blue,Rural,Fall,Retail,11501
1852,1101,7,751,5,38,Bed,Leather,Red,Suburban,Spring,Retail,12964
1201,575,10,626,3,35,Bed,Fabric,Black,Suburban,Spring,Retail,12010
1511,868,2,643,1,26,Bed,Wood,Green,Rural,Spring,Retail,3022
1450,805,9,645,5,26,Bed,Wood,Brown,Suburban,Fall,Online,13050
1627,952,12,675,8,28,Bed,Wood,Black,Suburban,Fall,Online,19524
1718,940,14,778,7,32,Bed,Wood,White,Suburban,Summer,Online,24052
1749,1007,9,742,4,38,Bed,Wood,Brown,Urban,Spring,Online,15741
1832,1085,12,747,4,26,Bed,Wood,Brown,Urban,Summer,Online,21984
1103,564,2,539,3,18,Bed,Fabric,Blue,Rural,Spring,Online,2206
1444,820,9,624,3,27,Bed,Wood,Black,Suburban,Summer,Online,12996
1637,936,11,701,5,39,Bed,Wood,Black,Rural,Summer,Online,18007
1980,1131,5,849,1,29,Bed,Leather,Red,Suburban,Winter,Retail,9900
1856,973,2,883,1,29,Bed,Wood,Green,Suburban,Winter,Online,3712
1663,1035,4,628,2,34,Bed,Wood,White,Rural,Spring,Online,6652
1620,906,11,714,6,35,Bed,Wood,Blue,Urban,Summer,Retail,17820
1545,879,11,666,6,29,Bed,Wood,Red,Urban,Fall,Retail,16995
1719,967,8,752,5,23,Bed,Wood,Black,Suburban,Spring,Retail,13752
1953,1182,4,771,3,35,Bed,Leather,Green,Rural,Summer,Online,7812
1755,1069,9,686,4,26,Bed,Wood,Blue,Urban,Fall,Retail,15795
1047,504,2,543,1,15,Bed,Fabric,Red,Rural,Winter,Online,2094
1681,1023,3,658,1,33,Bed,Leather,Blue,Suburban,Spring,Online,5043
1134,537,15,597,10,18,Bed,Fabric,Brown,Rural,Summer,Online,17010
1688,1001,9,687,7,40,Bed,Wood,Red,Urban,Fall,Online,15192
1816,1110,6,706,3,27,Bed,Leather,Red,Suburban,Spring,Online,10896
1810,979,11,831,8,31,Bed,Wood,White,Rural,Spring,Retail,19910
1129,614,5,515,1,14,Bed,Fabric,Green,Urban,Spring,Online,5645
1619,898,6,721,4,25,Bed,Wood,Green,Rural,Fall,Online,9714
1885,1028,7,857,5,29,Bed,Wood,Red,Urban,Fall,Retail,13195
1883,1101,12,782,5,30,Bed,Leather,White,Suburban,Summer,Retail,22596
1880,1105,4,775,3,40,Bed,Leather,Red,Suburban,Winter,Retail,7520
1993,1235,17,758,8,32,Bed,Leather,Black,Urban,Fall,Retail,33881
1426,837,8,589,5,33,Bed,Wood,Red,Urban,Fall,Online,11408
1535,851,10,684,4,31,Bed,Wood,Black,Rural,Fall,Online,15350
1532,890,10,642,1,34,Bed,Wood,White,Urban,Fall,Online,15320
1511,855,12,656,4,28,Bed,Wood,White,Urban,Summer,Retail,18132
1599,967,1,632,1,35,Bed,Wood,Green,Rural,Winter,Online,1599
2005,1224,5,781,5,45,Bed,Leather,Brown,Urban,Winter,Online,10025
1957,1261,7,696,6,27,Bed,Leather,Black,Rural,Winter,Retail,13699
1693,1014,12,679,5,39,Bed,Leather,Black,Suburban,Summer,Retail,20316
1614,958,2,656,1,36,Bed,Wood,Brown,Suburban,Winter,Online,3228
1698,997,13,701,10,25,Bed,Wood,Red,Urban,Fall,Retail,22074
1884,1064,7,820,4,36,Bed,Wood,Brown,Rural,Spring,Retail,13188
1674,1023,13,651,9,33,Bed,Leather,Brown,Suburban,Fall,Online,21762
1787,1005,5,782,3,22,Bed,Wood,Green,Rural,Spring,Retail,8935
1185,598,11,587,5,17,Bed,Fabric,White,Urban,Spring,Retail,13035
1493,929,7,564,3,37,Bed,Wood,White,Suburban,Spring,Retail,10451
1927,1191,9,736,4,28,Bed,Leather,Brown,Urban,Winter,Online,17343
1765,1059,6,706,1,37,Bed,Wood,Blue,Rural,Summer,Online,10590
1765,963,15,802,5,27,Bed,Wood,White,Urban,Fall,Online,26475
1551,875,9,676,4,34,Bed,Wood,Brown,Rural,Fall,Retail,13959
1847,1137,12,710,6,34,Bed,Leather,Red,Urban,Summer,Online,22164
1743,1085,9,658,8,36,Bed,Wood,Red,Rural,Summer,Online,15687
1812,970,12,842,7,30,Bed,Wood,Red,Urban,Summer,Online,21744
1781,1050,11,731,8,25,Bed,Leather,Black,Urban,Spring,Online,19591
1751,991,12,760,7,28,Bed,Wood,Black,Urban,Fall,Online,21012
1692,983,9,709,5,27,Bed,Leather,Green,Suburban,Fall,Online,15228
1542,887,11,655,4,33,Bed,Wood,Green,Suburban,Summer,Retail,16962
1702,1137,12,565,5,35,Bed,Leather,White,Urban,Summer,Online,20424
1597,959,17,638,9,31,Bed,Wood,Black,Suburban,Fall,Online,27149
1078,539,9,539,7,13,Bed,Fabric,Blue,Suburban,Spring,Online,9702
1302,689,14,613,6,18,Bed,Fabric,Brown,Rural,Fall,Retail,18228
1096,561,8,535,1,24,Bed,Fabric,Black,Urban,Winter,Online,8768
1142,602,3,540,2,25,Bed,Fabric,Green,Suburban,Winter,Online,3426
1705,1001,16,704,8,31,Bed,Wood,Green,Urban,Summer,Online,27280
1883,1054,3,829,1,33,Bed,Wood,Blue,Urban,Spring,Online,5649
1807,1082,9,725,7,37,Bed,Wood,Black,Rural,Fall,Retail,16263
1641,953,5,688,3,34,Bed,Wood,Green,Suburban,Spring,Online,8205
1510,869,7,641,5,33,Bed,Wood,Green,Suburban,Fall,Retail,10570
1641,964,1,677,2,27,Bed,Wood,Blue,Urban,Winter,Retail,1641
1804,1133,4,671,5,35,Bed,Leather,Green,Rural,Fall,Online,7216
1657,984,1,673,2,30,Bed,Wood,Green,Rural,Spring,Retail,1657
1791,1029,4,762,3,30,Bed,Wood,Blue,Suburban,Spring,Retail,7164
1061,525,16,536,9,13,Bed,Fabric,Black,Rural,Fall,Online,16976
1820,971,8,849,4,31,Bed,Wood,Black,Rural,Summer,Online,14560
1752,977,14,775,5,31,Bed,Wood,Black,Urban,Fall,Online,24528
1440,830,10,610,2,27,Bed,Wood,Green,Urban,Fall,Online,14400
1208,651,8,557,5,11,Bed,Fabric,Red,Suburban,Fall,Retail,9664
1476,915,9,561,3,31,Bed,Wood,Green,Suburban,Fall,Online,13284
1954,1181,11,773,7,16,Bed,Leather,Black,Rural,Spring,Online,21494
1615,907,9,708,5,26,Bed,Wood,Blue,Urban,Fall,Online,14535
1510,927,2,583,1,34,Bed,Wood,Blue,Suburban,Winter,Online,3020
1902,1201,3,701,3,30,Bed,Leather,Red,Suburban,Spring,Retail,5706
1843,1060,1,783,1,19,Bed,Wood,White,Rural,Spring,Online,1843
1755,1050,10,705,3,27,Bed,Leather,Blue,Urban,Summer,Retail,17550
1589,912,14,677,9,27,Bed,Wood,Brown,Rural,Fall,Retail,22246
1878,1025,7,853,3,31,Bed,Wood,Brown,Rural,Spring,Online,13146
1774,999,16,775,9,44,Bed,Wood,White,Suburban,Summer,Retail,28384
1630,997,1,633,1,38,Bed,Wood,Red,Rural,Winter,Retail,1630
1635,890,2,745,3,34,Bed,Leather,Green,Rural,Winter,Retail,3270
1652,1024,4,628,1,34,Bed,Wood,White,Rural,Winter,Online,6608
1489,843,1,646,1,23,Bed,Wood,Green,Rural,Spring,Retail,1489
1981,1134,1,847,1,39,Bed,Leather,Red,Suburban,Winter,Retail,1981
1671,990,2,681,1,24,Bed,Wood,Red,Suburban,Winter,Retail,3342
1783,1032,10,751,1,37,Bed,Wood,Red,Suburban,Fall,Online,17830
1080,599,4,481,2,22,Bed,Fabric,Blue,Urban,Winter,Retail,4320
1538,926,7,612,6,35,Bed,Wood,Green,Suburban,Fall,Online,10766
1719,966,1,753,1,18,Bed,Wood,Green,Suburban,Winter,Online,1719
1645,993,3,652,4,26,Bed,Wood,Black,Suburban,Winter,Online,4935
1697,936,7,761,5,37,Bed,Wood,Green,Urban,Spring,Retail,11879
1980,1250,8,730,2,42,Bed,Leather,Green,Rural,Summer,Retail,15840
1632,961,14,671,9,44,Bed,Leather,White,Urban,Fall,Online,22848
1653,889,8,764,5,28,Bed,Wood,Green,Urban,Fall,Online,13224
1897,1089,10,808,6,23,Bed,Wood,Brown,Suburban,Summer,Online,18970
1330,674,12,656,9,32,Bed,Fabric,Black,Suburban,Fall,Online,15960
954,499,12,455,7,20,Bed,Fabric,Red,Suburban,Summer,Online,11448
1754,987,15,767,6,42,Bed,Wood,White,Rural,Summer,Retail,26310
2025,1155,6,870,6,31,Bed,Leather,Red,Rural,Fall,Online,12150
1763,1040,6,723,2,34,Bed,Leather,Green,Suburban,Spring,Online,10578
1920,1142,11,778,3,25,Bed,Leather,Brown,Suburban,Fall,Retail,21120
1528,821,4,707,3,30,Bed,Wood,White,Suburban,Winter,Online,6112
1719,988,10,731,3,27,Bed,Leather,Brown,Rural,Summer,Retail,17190
1748,952,8,796,3,45,Bed,Wood,Green,Suburban,Fall,Online,13984
1459,853,9,606,3,32,Bed,Wood,Brown,Rural,Fall,Online,13131
1827,1047,3,780,2,42,Bed,Leather,Red,Urban,Winter,Online,5481
1589,980,7,609,1,33,Bed,Wood,Red,Rural,Fall,Retail,11123
1693,945,9,748,4,36,Bed,Wood,Brown,Urban,Winter,Retail,15237
1676,1004,15,672,9,24,Bed,Wood,White,Urban,Fall,Retail,25140
1848,1073,12,775,8,35,Bed,Wood,Black,Urban,Winter,Retail,22176
1088,533,15,555,6,11,Bed,Fabric,Brown,Suburban,Summer,Online,16320
1789,1070,8,719,7,32,Bed,Leather,Red,Suburban,Fall,Online,14312
1883,1123,7,760,4,22,Bed,Leather,Blue,Rural,Summer,Online,13181
1696,957,1,739,1,27,Bed,Wood,White,Rural,Winter,Online,1696
1420,854,10,566,2,26,Bed,Wood,Red,Suburban,Summer,Retail,14200
1754,991,1,763,1,29,Bed,Wood,Blue,Rural,Winter,Retail,1754
1473,853,13,620,13,29,Bed,Wood,Brown,Urban,Fall,Retail,19149
1610,974,1,636,1,25,Bed,Wood,Red,Suburban,Winter,Online,1610
1860,1050,1,810,3,28,Bed,Wood,Green,Rural,Winter,Retail,1860
1671,994,1,677,1,31,Bed,Wood,Red,Rural,Winter,Online,1671
1668,970,1,698,3,44,Bed,Leather,Red,Suburban,Winter,Retail,1668
1359,678,9,681,3,28,Bed,Fabric,Blue,Urban,Fall,Online,12231
1450,830,1,620,4,24,Bed,Wood,Blue,Rural,Winter,Retail,1450
1963,1242,10,721,6,25,Bed,Leather,Red,Urban,Summer,Online,19630
1659,953,1,706,1,32,Bed,Wood,Red,Suburban,Spring,Retail,1659
1591,898,6,693,2,32,Bed,Leather,Brown,Rural,Spring,Retail,9546
1558,864,4,694,1,29,Bed,Wood,White,Rural,Winter,Online,6232
1673,989,10,684,7,31,Bed,Wood,Brown,Rural,Fall,Online,16730
1913,1207,5,706,5,45,Bed,Leather,Green,Suburban,Fall,Online,9565
1572,911,10,661,6,33,Bed,Wood,Brown,Rural,Summer,Online,15720
1613,988,7,625,4,36,Bed,Wood,Brown,Suburban,Spring,Retail,11291
2128,1250,16,878,9,25,Bed,Leather,Brown,Urban,Fall,Retail,34048
1527,840,6,687,2,30,Bed,Wood,Blue,Rural,Summer,Online,9162
