price,cost,sales,profit,inventory,delivery_days,category,material,color,location,season,store_type,revenue,
499,248,17,251,2,6,Bed,Leather,Brown,Rural,Spring,Online,4267,
779,219,17,560,2,61,Bed,Wood,White,Urban,Fall,Online,9520,
879,310,17,569,2,41,Bed,Wood,White,Suburban,Summer,Online,9673,
744,159,17,585,3,17,Bed,Wood,Blue,Urban,Winter,Online,9945,
425,245,19,180,1,49,Bed,Wood,Green,Urban,Summer,Online,3420,
755,290,19,465,2,42,Bed,Leather,Blue,Urban,Summer,Retail,8835,
472,237,20,235,0,0,Bed,Fabric,Blue,Urban,Fall,Online,4700,
731,326,24,405,3,39,Bed,Wood,Green,Rural,Fall,Online,9720,
870,345,24,525,2,25,Bed,Wood,Red,Rural,Fall,Online,12600,
566,220,24,346,3,43,Bed,Fabric,Red,Rural,Fall,Retail,8304,
981,355,24,626,1,83,Bed,Wood,White,Suburban,Spring,Retail,15024,
925,153,24,772,3,81,Bed,Wood,Green,Rural,Fall,Retail,18528,
343,202,26,141,1,54,Bed,Leather,White,Rural,Summer,Online,3666,
540,480,26,60,2,70,Bed,Leather,Blue,Rural,Winter,Retail,1560,
494,427,26,67,3,89,Bed,Wood,Red,Urban,Winter,Retail,1742,
970,231,26,739,1,63,Bed,Wood,White,Suburban,Winter,Retail,19214,
682,538,27,144,1,32,Bed,Leather,Brown,Rural,Spring,Online,3888,
896,285,27,611,3,36,Bed,Wood,Green,Rural,Summer,Online,16497,
669,899,28,-230,3,45,Bed,Leather,Blue,Suburban,Spring,Online,-6440,
804,203,28,601,2,79,Bed,Wood,Green,Urban,Summer,Online,16828,
1888,195,29,1693,1,57,Bed,Wood,White,Suburban,Winter,Retail,49097,
487,208,32,279,1,27,Bed,Wood,Black,Suburban,Summer,Retail,8928,
444,248,33,196,1,68,Bed,Leather,White,Urban,Summer,Online,6468,
406,218,35,188,2,28,Bed,Leather,Brown,Suburban,Fall,Online,6580,
1887,1346,0,541,1,51,Bed,Wood,Red,Urban,Spring,Online,0,
1507,1062,1,445,2,43,Bed,Leather,Black,Suburban,Spring,Online,445,
579,418,2,161,1,33,Bed,Wood,Black,Urban,Winter,Retail,322,
576,327,12,249,2,80,Bed,Leather,White,Rural,Summer,Retail,498,
1889,1236,12,653,2,78,Bed,Leather,White,Urban,Summer,Retail,1306,
892,201,3,691,3,39,Bed,Wood,Blue,Urban,Spring,Retail,2073,
943,216,4,727,2,86,Bed,Fabric,Green,Suburban,Summer,Retail,2908,
1136,213,4,923,1,27,Bed,Wood,Black,Rural,Spring,Retail,3692,
971,298,6,673,1,26,Bed,Fabric,Blue,Rural,Fall,Retail,4038,
697,282,11,415,3,46,Bed,Wood,Green,Rural,Spring,Online,4565,
471,318,11,153,0,86,Bed,Leather,Black,Rural,Fall,Retail,1683,
691,303,12,388,0,12,Bed,Wood,Black,Suburban,Fall,Online,4656,
474,472,13,2,0,59,Bed,Leather,Brown,Suburban,Fall,Online,26,
704,261,14,443,2,67,Bed,Wood,Red,Urban,Winter,Online,6202,
893,361,15,532,3,35,Bed,Fabric,Green,Suburban,Summer,Online,7980,
652,236,15,416,0,37,Bed,Wood,Blue,Rural,Summer,Retail,6240,
880,294,16,586,2,66,Bed,Wood,Black,Suburban,Winter,Online,9376,
1356,1172,16,184,0,82,Bed,Leather,Black,Suburban,Fall,Retail,2944,
499,201,18,298,1,43,Bed,Wood,Red,Urban,Spring,Online,5364,
1791,433,18,1358,3,16,Bed,Wood,Black,Rural,Winter,Online,24444,
1167,986,18,181,1,47,Bed,Fabric,Red,Urban,Spring,Retail,3258,
530,224,18,306,1,40,Bed,Fabric,Black,Rural,Summer,Retail,5508,
910,788,19,122,3,38,Bed,Fabric,Black,Suburban,Spring,Online,2318,
2164,395,19,1769,1,32,Bed,Wood,White,Urban,Summer,Retail,33611,
662,280,20,382,0,49,Bed,Wood,Black,Urban,Summer,Online,7640,
610,356,22,254,0,70,Bed,Leather,White,Rural,Summer,Retail,5588,
267,297,23,-30,1,31,Bed,Leather,White,Urban,Summer,Online,-690,
603,486,23,117,3,76,Bed,Fabric,Black,Rural,Winter,Retail,2691,
867,458,23,409,1,88,Bed,Wood,Brown,Rural,Summer,Retail,9407,
1377,209,23,1168,3,24,Bed,Wood,Blue,Suburban,Summer,Retail,26864,
284,259,24,25,1,27,Bed,Wood,Brown,Rural,Winter,Online,600,
735,312,24,423,0,43,Bed,Wood,Brown,Urban,Winter,Online,10152,
1006,399,25,607,3,28,Bed,Wood,White,Rural,Summer,Online,15175,
1089,975,26,114,1,23,Bed,Fabric,Red,Urban,Summer,Online,2964,
701,180,26,521,0,78,Bed,Wood,Black,Rural,Winter,Online,13546,
860,442,27,418,1,73,Bed,Wood,Blue,Rural,Fall,Online,11286,
959,172,27,787,3,72,Bed,Wood,Blue,Suburban,Spring,Online,21249,
496,312,28,184,0,36,Bed,Leather,Red,Rural,Fall,Online,5152,
293,274,31,19,1,48,Bed,Fabric,Black,Suburban,Spring,Retail,589,
644,225,33,419,3,90,Bed,Wood,White,Rural,Summer,Retail,13827,
624,257,34,367,1,56,Bed,Fabric,Red,Urban,Summer,Online,12478,
533,475,43,58,3,66,Bed,Leather,Red,Rural,Fall,Online,2494,
381,168,7,213,6,70,Bed,Leather,Brown,Urban,Summer,Retail,0,
521,422,1,99,6,25,Bed,Leather,Green,Urban,Spring,Online,99,
1374,373,2,1001,6,32,Bed,Wood,Blue,Urban,Summer,Online,2002,
479,344,3,135,6,90,Bed,Leather,Brown,Rural,Spring,Retail,405,
385,177,13,208,6,38,Bed,Leather,Brown,Suburban,Fall,Retail,624,
694,291,4,403,6,85,Bed,Wood,White,Suburban,Summer,Online,1612,
972,402,4,570,6,44,Bed,Wood,Blue,Urban,Winter,Online,2280,
764,294,6,470,6,45,Bed,Wood,Green,Rural,Winter,Online,2820,
477,204,8,273,6,87,Bed,Wood,Black,Rural,Spring,Retail,2184,
564,252,9,312,6,48,Bed,Fabric,Red,Urban,Fall,Online,2808,
785,166,9,619,6,47,Bed,Wood,Red,Urban,Spring,Online,5571,
683,227,10,456,6,74,Bed,Wood,Blue,Urban,Summer,Retail,4560,
499,295,13,204,6,54,Bed,Fabric,Red,Urban,Fall,Online,2652,
812,353,13,459,6,26,Bed,Wood,Brown,Urban,Spring,Retail,5967,
1007,190,15,817,6,62,Bed,Wood,Red,Rural,Fall,Online,12255,
544,297,16,247,6,39,Bed,Leather,Brown,Rural,Fall,Retail,3952,
586,442,17,144,6,85,Bed,Wood,Brown,Rural,Winter,Retail,2448,
798,286,19,512,6,51,Bed,Fabric,Black,Rural,Winter,Retail,9728,
627,302,22,325,6,38,Bed,Fabric,Green,Urban,Spring,Online,7150,
1135,996,23,139,6,49,Bed,Leather,Brown,Suburban,Summer,Online,3197,
411,221,24,190,6,41,Bed,Fabric,Brown,Rural,Spring,Online,4560,
624,272,24,352,6,54,Bed,Wood,Red,Urban,Spring,Online,8448,
592,239,24,353,6,81,Bed,Wood,White,Rural,Spring,Online,8472,
516,264,26,252,6,80,Bed,Fabric,Blue,Urban,Fall,Online,6552,
1029,376,26,653,6,64,Bed,Wood,Red,Rural,Spring,Online,16978,
744,166,27,578,6,39,Bed,Fabric,Black,Urban,Summer,Online,15606,
779,323,27,456,6,86,Bed,Wood,White,Urban,Summer,Retail,12312,
932,387,27,545,6,83,Bed,Wood,Blue,Rural,Summer,Retail,14715,
359,211,31,148,6,84,Bed,Leather,Blue,Urban,Winter,Retail,4588,
594,307,31,287,6,60,Bed,Wood,Blue,Rural,Fall,Retail,8897,
676,278,32,398,6,76,Bed,Leather,Red,Suburban,Spring,Retail,12736,
718,334,33,384,6,28,Bed,Fabric,Black,Suburban,Spring,Retail,12672,
974,230,33,744,6,41,Bed,Wood,Green,Rural,Spring,Retail,24552,
491,200,34,291,6,73,Bed,Wood,Brown,Suburban,Fall,Online,9894,
645,255,35,390,6,49,Bed,Wood,Black,Suburban,Fall,Online,13650,
1263,418,35,845,6,70,Bed,Wood,White,Suburban,Summer,Online,29575,
588,260,37,328,6,23,Bed,Wood,Brown,Urban,Spring,Online,12136,
1025,230,39,795,6,48,Bed,Wood,Brown,Urban,Summer,Online,31005,
622,405,43,217,6,37,Bed,Fabric,Blue,Rural,Spring,Online,9331,
1951,1378,2,573,5,27,Bed,Wood,Black,Suburban,Summer,Online,1146,
1335,327,2,1008,5,38,Bed,Wood,Black,Rural,Summer,Online,2016,
3782,1204,3,2578,5,41,Bed,Leather,Red,Suburban,Winter,Retail,7734,
1176,705,4,471,5,30,Bed,Wood,Green,Suburban,Winter,Online,1884,
496,221,5,275,5,67,Bed,Wood,White,Rural,Spring,Online,1375,
844,231,5,613,5,78,Bed,Wood,Blue,Urban,Summer,Retail,3065,
1074,409,5,665,5,60,Bed,Wood,Red,Urban,Fall,Retail,3325,
1020,262,5,758,5,57,Bed,Wood,Black,Suburban,Spring,Retail,3790,
1066,1032,6,34,5,67,Bed,Leather,Green,Rural,Summer,Online,204,
1477,341,8,1136,5,43,Bed,Wood,Blue,Urban,Fall,Retail,9088,
1233,424,11,809,5,56,Bed,Fabric,Red,Rural,Winter,Online,8899,
365,288,14,77,5,78,Bed,Leather,Blue,Suburban,Spring,Online,1078,
1118,965,14,153,5,58,Bed,Fabric,Brown,Rural,Summer,Online,2142,
793,326,14,467,5,32,Bed,Wood,Red,Urban,Fall,Online,6538,
299,162,16,137,5,48,Bed,Leather,Red,Suburban,Spring,Online,2192,
1807,1170,16,637,5,43,Bed,Wood,White,Rural,Spring,Retail,10192,
1027,378,17,649,5,39,Bed,Fabric,Green,Urban,Spring,Online,11033,
949,286,17,663,5,26,Bed,Wood,Green,Rural,Fall,Online,11271,
876,371,17,505,5,75,Bed,Wood,Red,Urban,Fall,Retail,8585,
473,219,18,254,5,87,Bed,Leather,White,Suburban,Summer,Retail,4572,
871,484,20,387,5,39,Bed,Leather,Red,Suburban,Winter,Retail,7740,
1738,1271,23,467,5,59,Bed,Leather,Black,Urban,Fall,Retail,10741,
1011,1016,25,-5,5,30,Bed,Wood,Red,Urban,Fall,Online,-125,
515,196,26,319,5,42,Bed,Wood,Black,Rural,Fall,Online,8294,
920,418,26,502,5,38,Bed,Wood,White,Urban,Fall,Online,13052,
492,276,27,216,5,75,Bed,Wood,White,Urban,Summer,Retail,5832,
677,208,28,469,5,49,Bed,Wood,Green,Rural,Winter,Online,13132,
455,254,29,201,5,59,Bed,Leather,Brown,Urban,Winter,Online,5829,
1457,1108,29,349,5,80,Bed,Leather,Black,Rural,Winter,Retail,10121,
700,487,32,213,5,84,Bed,Leather,Black,Suburban,Summer,Retail,6816,
1029,230,39,799,5,31,Bed,Wood,Brown,Suburban,Winter,Online,31161,
697,236,39,461,5,77,Bed,Wood,Red,Urban,Fall,Retail,17979,
1324,484,40,840,5,37,Bed,Wood,Brown,Rural,Spring,Retail,33600,
628,482,41,146,5,38,Bed,Leather,Brown,Suburban,Fall,Online,5986,
986,201,46,785,5,83,Bed,Wood,Green,Rural,Spring,Retail,36110,
659,267,48,392,5,39,Bed,Fabric,White,Urban,Spring,Retail,18816,
1009,387,0,622,4,26,Bed,Wood,White,Suburban,Spring,Retail,0,
296,244,1,52,4,29,Bed,Leather,Brown,Urban,Winter,Online,52,
586,301,3,285,4,57,Bed,Wood,Blue,Rural,Summer,Online,855,
638,203,3,435,4,54,Bed,Wood,White,Urban,Fall,Online,1305,
723,290,3,433,4,51,Bed,Wood,Brown,Rural,Fall,Retail,1299,
945,489,4,456,4,19,Bed,Leather,Red,Urban,Summer,Online,1824,
780,447,5,333,4,76,Bed,Wood,Red,Rural,Summer,Online,1665,
549,234,7,315,4,71,Bed,Wood,Red,Urban,Summer,Online,2205,
335,279,10,56,4,51,Bed,Leather,Black,Urban,Spring,Online,560,
1354,306,10,1048,4,72,Bed,Wood,Black,Urban,Fall,Online,10480,
316,246,11,70,4,47,Bed,Leather,Green,Suburban,Fall,Online,770,
798,315,11,483,4,85,Bed,Wood,Green,Suburban,Summer,Retail,5313,
537,335,12,202,4,67,Bed,Leather,White,Urban,Summer,Online,2424,
1047,385,12,662,4,16,Bed,Wood,Black,Suburban,Fall,Online,7944,
2844,1463,12,1381,4,61,Bed,Fabric,Blue,Suburban,Spring,Online,16572,
1158,411,13,747,4,29,Bed,Fabric,Brown,Rural,Fall,Retail,9711,
569,229,16,340,4,23,Bed,Fabric,Black,Urban,Winter,Online,5440,
931,472,16,459,4,30,Bed,Fabric,Green,Suburban,Winter,Online,7344,
491,257,17,234,4,19,Bed,Wood,Green,Urban,Summer,Online,3978,
774,237,18,537,4,73,Bed,Wood,Blue,Urban,Spring,Online,9666,
611,239,18,372,4,38,Bed,Wood,Black,Rural,Fall,Retail,6696,
594,289,19,305,4,35,Bed,Wood,Green,Suburban,Spring,Online,5795,
997,292,21,705,4,24,Bed,Wood,Green,Suburban,Fall,Retail,14805,
546,240,22,306,4,63,Bed,Wood,Blue,Urban,Winter,Retail,6732,
399,193,23,206,4,28,Bed,Leather,Green,Rural,Fall,Online,4738,
757,223,23,534,4,70,Bed,Wood,Green,Rural,Spring,Retail,12282,
1538,364,23,1174,4,36,Bed,Wood,Blue,Suburban,Spring,Retail,27002,
687,295,24,392,4,51,Bed,Fabric,Black,Rural,Fall,Online,9408,
1241,417,24,824,4,41,Bed,Wood,Black,Rural,Summer,Online,19776,
1377,332,24,1045,4,21,Bed,Wood,Black,Urban,Fall,Online,25080,
1625,431,24,1194,4,46,Bed,Wood,Green,Urban,Fall,Online,28656,
914,377,24,537,4,65,Bed,Fabric,Red,Suburban,Fall,Retail,12888,
580,216,27,364,4,17,Bed,Wood,Green,Suburban,Fall,Online,9828,
327,167,28,160,4,79,Bed,Leather,Black,Rural,Spring,Online,4480,
416,211,28,205,4,36,Bed,Wood,Blue,Urban,Fall,Online,5740,
640,250,28,390,4,40,Bed,Wood,Blue,Suburban,Winter,Online,10920,
457,305,28,152,4,50,Bed,Leather,Red,Suburban,Spring,Retail,4256,
593,286,29,307,4,88,Bed,Wood,White,Rural,Spring,Online,8903,
808,497,29,311,4,25,Bed,Leather,Blue,Urban,Summer,Retail,9019,
340,277,29,63,4,26,Bed,Wood,Brown,Rural,Fall,Retail,1827,
719,282,30,437,4,49,Bed,Wood,Brown,Rural,Spring,Online,13110,
677,248,31,429,4,71,Bed,Wood,White,Suburban,Summer,Retail,13299,
706,290,32,416,4,28,Bed,Wood,Red,Rural,Winter,Retail,13312,
279,256,33,23,4,77,Bed,Leather,Green,Rural,Winter,Retail,759,
673,258,44,415,4,18,Bed,Wood,White,Rural,Winter,Online,18260,
1036,210,44,826,4,51,Bed,Wood,Green,Rural,Spring,Retail,36344,
644,290,2,354,3,28,Bed,Leather,Red,Suburban,Winter,Retail,708,
1810,350,2,1460,3,84,Bed,Wood,Red,Suburban,Winter,Retail,2920,
1649,359,4,1290,3,69,Bed,Wood,Red,Suburban,Fall,Online,5160,
484,174,5,310,3,57,Bed,Fabric,Blue,Urban,Winter,Retail,1550,
759,480,6,279,3,23,Bed,Wood,Green,Suburban,Fall,Online,1674,
1007,294,6,713,3,50,Bed,Wood,Green,Suburban,Winter,Online,4278,
822,357,8,465,3,32,Bed,Wood,Black,Suburban,Winter,Online,3720,
657,296,8,361,3,66,Bed,Wood,Green,Urban,Spring,Retail,2888,
517,288,10,229,3,42,Bed,Leather,Green,Rural,Summer,Retail,2290,
502,293,11,209,3,21,Bed,Leather,White,Urban,Fall,Online,2299,
563,243,11,320,3,21,Bed,Wood,Green,Urban,Fall,Online,3520,
1188,409,11,779,3,65,Bed,Wood,Brown,Suburban,Summer,Online,8569,
895,445,12,450,3,26,Bed,Fabric,Black,Suburban,Fall,Online,5400,
1027,393,12,634,3,70,Bed,Fabric,Red,Suburban,Summer,Online,7608,
683,310,12,373,3,38,Bed,Wood,White,Rural,Summer,Retail,4476,
404,265,13,139,3,75,Bed,Leather,Red,Rural,Fall,Online,1807,
1632,964,13,668,3,77,Bed,Leather,Green,Suburban,Spring,Online,8684,
629,389,13,240,3,88,Bed,Leather,Brown,Suburban,Fall,Retail,3120,
543,172,14,371,3,42,Bed,Wood,White,Suburban,Winter,Online,5194,
1307,983,14,324,3,69,Bed,Leather,Brown,Rural,Summer,Retail,4536,
821,442,19,379,3,46,Bed,Wood,Green,Suburban,Fall,Online,7201,
1064,495,19,569,3,56,Bed,Wood,Brown,Rural,Fall,Online,10811,
784,474,20,310,3,49,Bed,Leather,Red,Urban,Winter,Online,6200,
786,418,20,368,3,77,Bed,Wood,Red,Rural,Fall,Retail,7360,
1200,319,20,881,3,36,Bed,Wood,Brown,Urban,Winter,Retail,17620,
1723,697,20,1026,3,37,Bed,Wood,White,Urban,Fall,Retail,20520,
452,213,22,239,3,60,Bed,Wood,Black,Urban,Winter,Retail,5258,
1173,984,23,189,3,39,Bed,Fabric,Brown,Suburban,Summer,Online,4347,
572,390,23,182,3,14,Bed,Leather,Red,Suburban,Fall,Online,4186,
295,217,26,78,3,48,Bed,Leather,Blue,Rural,Summer,Online,2028,
556,240,26,316,3,57,Bed,Wood,White,Rural,Winter,Online,8216,
235,218,26,17,3,73,Bed,Wood,Red,Suburban,Summer,Retail,442,
549,278,26,271,3,66,Bed,Wood,Blue,Rural,Winter,Retail,7046,
1261,846,27,415,3,74,Bed,Wood,Brown,Urban,Fall,Retail,11205,
722,441,28,281,3,53,Bed,Wood,Red,Suburban,Winter,Online,7868,
346,165,28,181,3,59,Bed,Wood,Green,Rural,Winter,Retail,5068,
1011,390,29,621,3,42,Bed,Wood,Red,Rural,Winter,Online,18009,
627,405,30,222,3,59,Bed,Leather,Red,Suburban,Winter,Retail,6660,
1155,465,31,690,3,35,Bed,Fabric,Blue,Urban,Fall,Online,21390,
569,456,31,113,3,69,Bed,Wood,Blue,Rural,Winter,Retail,3503,
818,480,32,338,3,42,Bed,Leather,Red,Urban,Summer,Online,10816,
773,480,33,293,3,62,Bed,Wood,Red,Suburban,Spring,Retail,9669,
816,468,34,348,3,73,Bed,Leather,Brown,Rural,Spring,Retail,11832,
726,489,35,237,3,40,Bed,Wood,White,Rural,Winter,Online,8295,
759,201,44,558,3,26,Bed,Wood,Brown,Rural,Fall,Online,24552,
3814,1438,0,2376,2,20,Bed,Leather,Green,Suburban,Fall,Online,0,
934,396,3,538,2,33,Bed,Wood,Brown,Rural,Summer,Online,538,
560,291,1,269,2,78,Bed,Wood,Brown,Suburban,Spring,Retail,269,
382,182,4,200,2,85,Bed,Leather,Brown,Urban,Fall,Retail,800,
601,232,5,369,2,86,Bed,Wood,Blue,Rural,Summer,Online,1845,
1003,344,5,659,2,41,Bed,Wood,Blue,Rural,Summer,Retail,3295,
